case,top_crno,top_corpNm,top_region,top_addr,top_sicNm,affiliate_crno,affiliate_corpNm,affiliate_region,affiliate_addr,affiliate_sicNm,subsidiary_name,subsidiary_region,subsidiary_addr,subsidiary_bizCtt,domestic,name_norm,대분류,top_대분류,affiliate_대분류,subsidiary_대분류
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101110014764,롯데건설주식회사,서울,서울특별시 서초구 잠원로14길 29,아파트 건설업,,,,,,,유통·물류;부동산·건설,유통·물류,부동산·건설,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101110033722,롯데푸드(주),서울,서울특별시 영등포구 양평로19길 19 -,기타 식품 제조업,,,,,,,유통·물류;제조;식품·농업,유통·물류,제조;식품·농업,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101110076300,롯데지주(주),서울,서울특별시 송파구 올림픽로 300 롯데월드타워,지주회사,,,,,,,유통·물류;금융,유통·물류,금융,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101110145410,주식회사 호텔롯데,서울,서울특별시 중구 을지로 30,호텔업,,,,,,,유통·물류;서비스,유통·물류,서비스,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101110159099,롯데상사(주),서울,"서울특별시 강남구 영동대로 302 (대치동, 국민제1빌딩 3,4층)",상품 종합 중개업,,,,,,,유통·물류;모름,유통·물류,모름,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101110193196,롯데케미칼(주),서울,서울특별시 송파구 올림픽로 300 롯데월드타워,합성수지 및 기타 플라스틱 물질 제조업,,,,,,,유통·물류;제조,유통·물류,제조,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101110532633,롯데하이마트(주),서울,서울특별시 강남구  삼성로 156  롯데하이마트빌딩,가전제품 및 부품 도매업,,,,,,,유통·물류;제조,유통·물류,제조;유통·물류,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101111217416,롯데캐피탈(주),서울,서울특별시 강남구 테헤란로 142 아크플레이스 7층,신용카드 및 할부금융업,,,,,,,유통·물류;금융,유통·물류,금융,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101113326588,롯데렌탈(주),경기,경기도 안양시 동안구 전파로 88 신원비전타워 8층,자동차 임대업,,,,,,,유통·물류;제조;부동산·건설,유통·물류,제조;부동산·건설,
1,1101110000086,롯데쇼핑(주),서울,서울특별시 중구  남대문로 81 (소공동),백화점,1101114660232,서울복합물류프로젝트금융투자(주),서울,서울특별시 송파구 송파대로 55,비주거용 건물 임대업,,,,,,,유통·물류;모름,유통·물류,모름,
